rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
3472,TOI-4582 b,TOI-4582,0.0009730494637122869,0.09730494637122869,0,0,2023
3473,MASCARA-4 b,MASCARA-4,0.0009728261360664086,0.09728261360664085,0,0,2020
3474,WASP-25 b,WASP-25,0.0009727257737875275,0.09727257737875275,0,0,2010
3475,WASP-46 b,WASP-46,0.0009720140914994478,0.09720140914994478,0,0,2011
3476,HATS-58 A b,HATS-58 A,0.0009710798251949453,0.09710798251949453,0,0,2019
3477,TOI-261.01,TOI-261.01,0.000971056611969736,0.0971056611969736,0,0,2024
3478,HAT-P-55 b,HAT-P-55,0.0009702223296182069,0.09702223296182069,0,0,2015
3479,WASP-36 b,WASP-36,0.0009702003765142701,0.09702003765142701,0,0,2011
3480,WASP-195 b,WASP-195,0.0009698269134860871,0.09698269134860871,0,0,2025
3481,WASP-41 b,WASP-41,0.0009697319049353623,0.09697319049353623,0,0,2012
3482,TrES-3 b,TrES-3,0.0009693933243008904,0.09693933243008904,0,0,2007
3483,WASP-55 b,WASP-55,0.0009692204624179027,0.09692204624179027,0,0,2012
3484,Kepler-1642 b,Kepler-1642,0.0009686814274859357,0.09686814274859358,0,0,2016
3485,XO-5 b,XO-5,0.0009672389308529683,0.09672389308529683,0,0,2008
3486,TOI-1194 b,TOI-1194,0.0009669545877206669,0.09669545877206669,0,0,2023
3487,WASP-77 A b,WASP-77 A,0.0009660848165315665,0.09660848165315665,0,0,2012
3488,Kepler-644 b,Kepler-644,0.0009659617941180892,0.09659617941180892,0,0,2016
3489,HATS-14 b,HATS-14,0.0009659075389306651,0.09659075389306651,0,0,2015
3490,KELT-21 b,KELT-21,0.0009657068352716333,0.09657068352716333,0,0,2018
3491,HAT-P-69 b,HAT-P-69,0.000965518375658903,0.09655183756589031,0,0,2019
3492,TOI-5108 b,TOI-5108,0.000965195711391793,0.0965195711391793,0,0,2025
3493,Kepler-750 b,Kepler-750,0.0009646148869948537,0.09646148869948537,0,0,2016
3494,HATS-4 b,HATS-4,0.0009645652983839689,0.09645652983839689,0,0,2014
3495,WASP-32 b,WASP-32,0.0009640968332519532,0.09640968332519533,0,0,2010
3496,TOI-1173 b,TOI-1173,0.0009639987739681376,0.09639987739681376,0,0,2024
3497,TOI-1859 b,TOI-1859,0.0009638234608873664,0.09638234608873664,0,0,2023
3498,HATS-46 b,HATS-46,0.0009634849292021262,0.09634849292021262,0,0,2018
3499,WASP-166 b,WASP-166,0.0009632666130586411,0.09632666130586412,0,0,2019
3500,HATS-8 b,HATS-8,0.0009631074364148592,0.09631074364148591,0,0,2015
3501,Kepler-1171 b,Kepler-1171,0.0009627665845667656,0.09627665845667656,0,0,2016
3502,WASP-5 b,WASP-5,0.0009625169545016717,0.09625169545016717,0,0,2008
3503,TOI-1518 b,TOI-1518,0.0009615267319546025,0.09615267319546025,0,0,2021
3504,HATS-29 b,HATS-29,0.0009612845831657171,0.09612845831657171,0,0,2016
3505,Kepler-855 b,Kepler-855,0.0009610336734315232,0.09610336734315232,0,0,2016
3506,TOI-7510 c,TOI-7510,0.0009610309897331283,0.09610309897331283,0,0,2025
3507,WASP-129 b,WASP-129,0.0009602059575040869,0.0960205957504087,0,0,2016
3508,HAT-P-28 b,HAT-P-28,0.0009599761567898449,0.09599761567898449,0,0,2011
3509,TOI-201 b,TOI-201,0.0009593929873512496,0.09593929873512495,0,0,2021
3510,Kepler-696 b,Kepler-696,0.0009587039537736497,0.09587039537736497,0,0,2016
3511,TOI-5786 b,TOI-5786,0.000958353289138567,0.09583532891385671,0,0,2025
3512,TOI-6651 b,TOI-6651,0.0009582886380057971,0.09582886380057971,0,0,2024
3513,Kepler-1514 b,Kepler-1514,0.0009581147994456275,0.09581147994456275,0,0,2016
3514,Kepler-714 b,Kepler-714,0.0009580369417747035,0.09580369417747035,0,0,2016
3515,HD 149026 b,HD 149026,0.0009576384344672622,0.09576384344672623,0,0,2005
